TIC_ID,candidate_number,label
8195886,1,NOISE
8196058,1,NOISE
8196058,2,NOISE
8196058,3,NOISE
8196058,4,NOISE
8196058,5,NOISE
8196285,1,NOISE
8196324,1,NOISE
24195569,1,NOISE
24195569,2,NOISE
24195569,3,NOISE
24195690,1,NOISE
24195690,2,NOISE
24195690,3,NOISE
24195690,4,NOISE
24195690,5,NOISE
24231627,1,NOISE
24231627,2,NOISE
24231627,3,NOISE
24231627,4,NOISE
24231627,5,NOISE
24265684,1,NOISE
24265684,2,NOISE
24265684,3,NOISE
24265684,4,NOISE
24265755,1,NOISE
24265755,2,NOISE
24265859,1,NOISE
24265859,2,NOISE
24265859,3,NOISE
24265859,4,NOISE
24265859,5,NOISE
24292848,1,NOISE
24292848,2,NOISE
24292848,3,NOISE
24292848,4,NOISE
24292848,5,NOISE
24693383,1,NOISE
24693528,1,NOISE
24693528,2,NOISE
24693528,3,NOISE
24693528,4,NOISE
24693528,5,NOISE
24695017,1,NOISE
24695017,2,NOISE
24695017,3,NOISE
24695017,4,NOISE
24695017,5,NOISE
24695711,1,NOISE
24695711,2,NOISE
24695711,3,NOISE
24695711,4,NOISE
24695711,5,NOISE
24695725,1,NOISE
24695725,2,NOISE
24695725,3,NOISE
24695725,4,NOISE
24695725,5,NOISE
24704388,1,NOISE
24704388,2,NOISE
24704388,3,NOISE
24704388,4,NOISE
24704388,5,NOISE
24705603,1,NOISE
24705603,2,NOISE
24705603,3,NOISE
24705603,4,NOISE
24706359,1,NOISE
24706359,2,NOISE
24706359,3,NOISE
24706359,4,NOISE
24706359,5,NOISE
24706893,1,NOISE
24706893,2,NOISE
24706893,3,NOISE
24706893,4,NOISE
24706893,5,NOISE
24750295,1,NOISE
24750915,1,NOISE
24750915,2,NOISE
24750915,3,NOISE
24750915,4,NOISE
24750915,5,NOISE
25064731,1,NOISE
25064731,2,NOISE
25064731,3,NOISE
25064731,4,NOISE
25064731,5,NOISE
25078674,1,NOISE
25078924,1,NOISE
25078924,2,NOISE
25078924,3,NOISE
25078924,4,NOISE
25078924,5,NOISE
25116563,1,NOISE
25116563,2,NOISE
25116563,3,NOISE
25117242,1,NOISE
25117273,1,NOISE
25117273,2,NOISE
25117273,3,NOISE
25117273,4,NOISE
25117273,5,NOISE
25118964,1,NOISE
25118964,2,NOISE
25118964,3,NOISE
25118964,4,NOISE
25118964,5,NOISE
25132265,1,NOISE
25132265,2,NOISE
25132314,1,NOISE
25132314,2,NOISE
25132314,3,NOISE
25132314,4,NOISE
25132314,5,NOISE
25132694,1,NOISE
25132999,1,NOISE
25132999,2,NOISE
25132999,3,NOISE
25132999,4,NOISE
25132999,5,NOISE
25134376,1,NOISE
25134376,2,NOISE
25134376,3,NOISE
25134376,4,NOISE
25134377,1,NOISE
25134377,2,NOISE
25136499,1,NOISE
25136499,2,NOISE
25136560,1,NOISE
25136560,2,NOISE
25136560,3,NOISE
25136560,4,NOISE
25136560,5,NOISE
25139818,1,NOISE
25139818,2,NOISE
25139818,3,NOISE
25139818,4,NOISE
25139818,5,NOISE
25153167,1,NOISE
25153167,2,NOISE
25153167,3,NOISE
25153167,4,NOISE
25153167,5,NOISE
25153635,1,NOISE
25155310,1,PLANET
25155310,2,PLANET
25155310,3,PLANET
25155664,1,NOISE
25155664,2,NOISE
25155664,3,NOISE
25155664,4,NOISE
25155664,5,NOISE
25155698,1,NOISE
25155698,2,NOISE
25155698,3,NOISE
25155698,4,NOISE
25155698,5,NOISE
25156036,1,NOISE
25156036,2,NOISE
25156036,3,NOISE
25165839,1,NOISE
25167696,1,NOISE
25167696,2,NOISE
25170085,1,NOISE
25170114,1,NOISE
25170114,2,NOISE
25170114,3,NOISE
25170114,4,NOISE
25170460,1,NOISE
25170460,2,NOISE
25170460,3,NOISE
25170460,4,NOISE
25170460,5,NOISE
25196356,1,NOISE
25200252,1,NOISE
25200252,2,NOISE
25200252,3,NOISE
25200252,4,NOISE
25200252,5,NOISE
25202447,1,NOISE
25202447,2,NOISE
25202447,3,NOISE
25202447,4,NOISE
25202447,5,NOISE
25226885,1,NOISE
25226885,2,NOISE
25226885,3,NOISE
25226885,4,NOISE
25226885,5,NOISE
25230545,1,NOISE
25230545,2,NOISE
25230545,3,NOISE
25230545,4,NOISE
25230545,5,NOISE
25243422,1,NOISE
25243422,2,NOISE
25243422,3,NOISE
25243422,4,NOISE
25243422,5,NOISE
25244716,1,NOISE
25244716,2,NOISE
25244716,3,NOISE
25244716,4,NOISE
25245547,1,NOISE
25245570,1,NOISE
25245570,2,NOISE
25246985,1,NOISE
25247445,1,NOISE
25247445,2,NOISE
25247445,3,NOISE
25247445,4,NOISE
25247445,5,NOISE
25282861,1,NOISE
25283002,1,NOISE
25285075,1,NOISE
25285075,2,NOISE
25285075,3,NOISE
25285075,4,NOISE
25285075,5,NOISE
25285374,1,NOISE
25285374,2,NOISE
25285374,3,NOISE
25285374,4,NOISE
25285374,5,NOISE
25299762,1,NOISE
25299762,2,NOISE
25299762,3,NOISE
25299762,4,NOISE
25299762,5,NOISE
25350747,1,NOISE
25351345,1,NOISE
25351345,2,NOISE
25351345,3,NOISE
25351345,4,NOISE
25351345,5,NOISE
25352261,1,NOISE
25352261,2,NOISE
25355566,1,NOISE
25355566,2,NOISE
25355566,3,NOISE
25355566,4,NOISE
25355566,5,NOISE
25356194,1,NOISE
25356351,1,NOISE
25356351,2,NOISE
25356351,3,NOISE
25356351,4,NOISE
25356351,5,NOISE
25357744,1,NOISE
25357744,2,NOISE
25357756,1,NOISE
25357756,2,NOISE
25357756,3,NOISE
25357756,4,NOISE
25357782,1,NOISE
25358793,1,NOISE
25358793,2,NOISE
25358793,3,NOISE
25358793,4,NOISE
25358793,5,NOISE
25372748,1,NOISE
25372748,2,NOISE
25372748,3,NOISE
25372748,4,NOISE
25372748,5,NOISE
25373148,1,NOISE
25373148,2,NOISE
25374751,1,NOISE
25374751,2,NOISE
25375552,1,NOISE
25375552,2,NOISE
25375552,3,NOISE
25375552,4,NOISE
25375552,5,NOISE
25375553,1,PLANET
25375553,2,PLANET
25375553,3,PLANET
25375553,4,PLANET
25375553,5,PLANET
25375770,1,NOISE
25375770,2,NOISE
25375770,3,NOISE
25375770,4,NOISE
25375770,5,NOISE
25375915,1,NOISE
25375915,2,NOISE
25375915,3,NOISE
25375915,4,NOISE
25375915,5,NOISE
29189156,1,NOISE
29189156,2,NOISE
29189156,3,NOISE
29189156,4,NOISE
29189156,5,NOISE
29189207,1,NOISE
29189207,2,NOISE
29189207,3,NOISE
29189207,4,NOISE
29189207,5,NOISE
29253938,1,NOISE
29253938,2,NOISE
29253938,3,NOISE
29253938,4,NOISE
29253938,5,NOISE
29255834,1,NOISE
29255834,2,NOISE
29257288,1,NOISE
29257288,2,NOISE
29257288,3,NOISE
29257288,4,NOISE
29257288,5,NOISE
29260474,1,NOISE
29260474,2,NOISE
29260474,3,NOISE
29260474,4,NOISE
29260474,5,NOISE
29281339,1,NOISE
29281339,2,NOISE
29281339,3,NOISE
29281750,1,NOISE
29281750,2,NOISE
29281750,3,NOISE
29281992,1,NOISE
29281992,2,NOISE
29281992,3,NOISE
29281992,4,NOISE
29281992,5,NOISE
29284027,1,NOISE
29284027,2,NOISE
29284027,3,NOISE
29284027,4,NOISE
29284027,5,NOISE
29285612,1,NOISE
29285612,2,NOISE
29285612,3,NOISE
29285612,4,NOISE
29287204,1,NOISE
29287204,2,NOISE
29287204,3,NOISE
29287204,4,NOISE
29287204,5,NOISE
29344151,1,NOISE
29344151,2,NOISE
29344151,3,NOISE
29344151,4,NOISE
29344151,5,NOISE
29344935,1,PLANET
29346756,1,NOISE
29348570,1,NOISE
29348570,2,NOISE
29348570,3,NOISE
29348570,4,NOISE
29348570,5,NOISE
29388651,1,NOISE
29388651,2,NOISE
29388651,3,NOISE
29388651,4,NOISE
29388651,5,NOISE
29389596,1,NOISE
29390897,1,NOISE
29390897,2,NOISE
29390897,3,NOISE
29390897,4,NOISE
29390897,5,NOISE
29392968,1,NOISE
29392968,2,NOISE
29392968,3,NOISE
29393000,1,NOISE
29393000,2,NOISE
29393000,3,NOISE
29430495,1,NOISE
29430569,1,NOISE
29430569,2,NOISE
29430569,3,NOISE
29430569,4,NOISE
29430569,5,NOISE
29431427,1,NOISE
29431427,2,NOISE
29431427,3,NOISE
29431427,4,NOISE
29431427,5,NOISE
29432990,1,NOISE
29433169,1,NOISE
29433169,2,NOISE
29433169,3,NOISE
29433169,4,NOISE
29433169,5,NOISE
29437243,1,NOISE
29437243,2,NOISE
29437243,3,NOISE
29437243,4,NOISE
29437243,5,NOISE
29475080,1,NOISE
29475080,2,NOISE
29475080,3,NOISE
29475080,4,NOISE
29476151,1,NOISE
29476151,2,NOISE
29477348,1,NOISE
29477348,2,NOISE
29477348,3,NOISE
29477348,4,NOISE
29477348,5,NOISE
29477619,1,NOISE
29477619,2,NOISE
29477619,3,NOISE
29477619,4,NOISE
29477619,5,NOISE
29478974,1,NOISE
29478974,2,NOISE
29478974,3,NOISE
29478974,4,NOISE
29478974,5,NOISE
29493050,1,NOISE
29493647,1,NOISE
29493647,2,NOISE
29493647,3,NOISE
29493647,4,NOISE
29493647,5,NOISE
29493969,1,NOISE
29493969,2,NOISE
29493969,3,NOISE
29493969,4,NOISE
29493969,5,NOISE
29495056,1,NOISE
29495056,2,NOISE
29495056,3,NOISE
29495056,4,NOISE
29495056,5,NOISE
29495095,1,NOISE
29495095,2,NOISE
29495095,3,NOISE
29495095,4,NOISE
29495095,5,NOISE
29495314,1,NOISE
29495314,2,NOISE
29495621,1,NOISE
29495621,2,NOISE
29495621,3,NOISE
29495621,4,NOISE
29495621,5,NOISE
29497299,1,NOISE
29497299,2,NOISE
29497299,3,NOISE
29497299,4,NOISE
29497299,5,NOISE
29498496,1,NOISE
29498496,2,NOISE
29498496,3,NOISE
29498496,4,NOISE
29498496,5,NOISE
29499461,1,NOISE
29499461,2,NOISE
29499461,3,NOISE
29499461,4,NOISE
29499461,5,NOISE
29541905,1,NOISE
29541905,2,NOISE
29541905,3,NOISE
29541905,4,NOISE
29541905,5,NOISE
29543294,1,NOISE
29543294,2,NOISE
29543294,3,NOISE
29543294,4,NOISE
29543294,5,NOISE
29543573,1,NOISE
29543573,2,NOISE
29543573,3,NOISE
29543573,4,NOISE
29543573,5,NOISE
29545491,1,NOISE
29546586,1,NOISE
29546586,2,NOISE
29546586,3,NOISE
29546586,4,NOISE
29546586,5,NOISE
29547433,1,NOISE
29547433,2,NOISE
29547433,3,NOISE
29547433,4,NOISE
29547433,5,NOISE
29579897,1,NOISE
29579897,2,NOISE
29579897,3,NOISE
29579897,4,NOISE
29579897,5,NOISE
29580928,1,NOISE
29636302,1,NOISE
29636302,2,NOISE
29636302,3,NOISE
29638934,1,NOISE
29638934,2,NOISE
29638934,3,NOISE
29638934,4,NOISE
29638934,5,NOISE
29639766,1,NOISE
29639766,2,NOISE
29640214,1,NOISE
29640214,2,NOISE
29640214,3,NOISE
29640214,4,NOISE
29640214,5,NOISE
29640672,1,NOISE
29640672,2,NOISE
29666185,1,NOISE
29666185,2,NOISE
29666185,3,NOISE
29666185,4,NOISE
29666185,5,NOISE
29666611,1,NOISE
29667366,1,NOISE
29667366,2,NOISE
29667366,3,NOISE
29667425,1,NOISE
29667425,2,NOISE
29667425,3,NOISE
29667425,4,NOISE
29667425,5,NOISE
29669091,1,NOISE
29669091,2,NOISE
29669091,3,NOISE
29669091,4,NOISE
29669091,5,NOISE
29669818,1,NOISE
29671013,1,NOISE
29671013,2,NOISE
29671923,1,NOISE
29671923,2,NOISE
29671923,3,NOISE
29671923,4,NOISE
29671923,5,NOISE
29716907,1,NOISE
29716907,2,NOISE
29716907,3,NOISE
29716907,4,NOISE
29716907,5,NOISE
29716978,1,NOISE
29716978,2,NOISE
29716978,3,NOISE
29716978,4,NOISE
29716978,5,NOISE
29717176,1,NOISE
29717176,2,NOISE
29717176,3,NOISE
29717216,1,NOISE
29717216,2,NOISE
29717216,3,NOISE
29717216,4,NOISE
29719050,1,NOISE
29719050,2,NOISE
29722063,1,NOISE
29722063,2,NOISE
29722063,3,NOISE
29722063,4,NOISE
29722063,5,NOISE
29753099,1,NOISE
29753099,2,NOISE
29753099,3,NOISE
29753099,4,NOISE
29753099,5,NOISE
29753876,1,NOISE
29753876,2,NOISE
29753876,3,NOISE
29754573,1,NOISE
29754573,2,NOISE
29754573,3,NOISE
29755072,1,NOISE
29755072,2,NOISE
29755072,3,NOISE
29755072,4,NOISE
29755072,5,NOISE
29755993,1,NOISE
29755993,2,NOISE
29755993,3,NOISE
29755993,4,NOISE
29755993,5,NOISE
29758639,1,NOISE
29758639,2,NOISE
29758639,3,NOISE
29758639,4,NOISE
29758639,5,NOISE
29760003,1,NOISE
29760003,2,NOISE
29760003,3,NOISE
29760003,4,NOISE
29760003,5,NOISE
29762078,1,NOISE
29762078,2,NOISE
29762078,3,NOISE
29762078,4,NOISE
29762078,5,NOISE
29778225,1,NOISE
29778225,2,NOISE
29778225,3,NOISE
29778225,4,NOISE
29778225,5,NOISE
29779873,1,NOISE
29779873,2,NOISE
29779873,3,NOISE
29779873,4,NOISE
29779873,5,NOISE
29780677,1,NOISE
29780677,2,NOISE
29780677,3,NOISE
29780677,4,NOISE
29780677,5,NOISE
29781099,1,NOISE
29781099,2,NOISE
29781292,1,PLANET
29781308,1,NOISE
29781308,2,NOISE
29781308,3,NOISE
29781308,4,NOISE
29781308,5,NOISE
29821374,1,NOISE
29821374,2,NOISE
29821374,3,NOISE
29821613,1,NOISE
29821613,2,NOISE
29821613,3,NOISE
29821613,4,NOISE
29821613,5,NOISE
29822192,1,NOISE
29822192,2,NOISE
29822192,3,NOISE
29822192,4,NOISE
29822192,5,NOISE
29825183,1,NOISE
29825183,2,NOISE
29825183,3,NOISE
29825183,4,NOISE
29825183,5,NOISE
29825720,1,NOISE
29825720,2,NOISE
29825720,3,NOISE
29825720,4,NOISE
29825720,5,NOISE
29825852,1,NOISE
29825852,2,NOISE
29825852,3,NOISE
29825852,4,NOISE
29830830,1,NOISE
29830830,2,NOISE
29830830,3,NOISE
29830830,4,NOISE
29830830,5,NOISE
29831208,1,OTHER
29834926,1,NOISE
29834926,2,NOISE
29834926,3,NOISE
29834926,4,NOISE
29835586,1,NOISE
29835586,2,NOISE
29835586,3,NOISE
29835586,4,NOISE
29835586,5,NOISE
29837160,1,NOISE
29837160,2,NOISE
29837160,3,NOISE
29837570,1,NOISE
29841918,1,NOISE
29841918,2,NOISE
29841918,3,NOISE
29841918,4,NOISE
29842113,1,NOISE
29842382,1,NOISE
29842382,2,NOISE
29842382,3,NOISE
29842382,4,NOISE
29842382,5,NOISE
29857846,1,NOISE
29857846,2,NOISE
29859905,1,NOISE
29859905,2,NOISE
29859905,3,NOISE
29859905,4,NOISE
29859905,5,NOISE
29860196,1,NOISE
29860196,2,NOISE
29860196,3,NOISE
29860196,4,NOISE
29860196,5,NOISE
29861079,1,NOISE
29861079,2,NOISE
29861079,3,NOISE
29861079,4,NOISE
29861079,5,NOISE
29861601,1,NOISE
29861760,1,NOISE
29861760,2,NOISE
29861760,3,NOISE
29861760,4,NOISE
29861760,5,NOISE
29924856,1,NOISE
29924856,2,NOISE
29984014,1,NOISE
29984014,2,NOISE
29984014,3,NOISE
29984014,4,NOISE
29984014,5,NOISE
29986808,1,NOISE
29987134,1,NOISE
29987134,2,NOISE
29987134,3,NOISE
29987134,4,NOISE
29987134,5,NOISE
29987437,1,NOISE
29990592,1,NOISE
29990592,2,NOISE
29990592,3,NOISE
29990592,4,NOISE
29990592,5,NOISE
30038422,1,NOISE
30038422,2,NOISE
30110048,1,NOISE
30110048,2,NOISE
30110048,3,NOISE
30110048,4,NOISE
30110048,5,NOISE
30110465,1,NOISE
30110465,2,NOISE
30110465,3,NOISE
30110465,4,NOISE
30110465,5,NOISE
30111936,1,NOISE
30111936,2,NOISE
30111936,3,NOISE
30185650,1,NOISE
30186108,1,NOISE
30186108,2,NOISE
30186108,3,NOISE
30186108,4,NOISE
30186108,5,NOISE
30186481,1,NOISE
30186481,2,NOISE
30186481,3,NOISE
30186481,4,NOISE
30189015,1,NOISE
30190251,1,NOISE
30268695,1,NOISE
30268695,2,NOISE
30268695,3,NOISE
30268695,4,NOISE
30268695,5,NOISE
30275662,1,NOISE
30275777,1,NOISE
30275777,2,NOISE
30275777,3,NOISE
30275795,1,NOISE
30275795,2,NOISE
30275795,3,NOISE
30275795,4,NOISE
30275861,1,NOISE
30275861,2,NOISE
30275861,3,NOISE
30275861,4,NOISE
30275861,5,NOISE
30311749,1,NOISE
30312104,1,NOISE
30312676,1,OTHER
30312676,2,OTHER
30312676,3,OTHER
30312676,4,OTHER
30312676,5,OTHER
30312711,1,NOISE
30312711,2,NOISE
30312711,3,NOISE
30312711,4,NOISE
30312711,5,NOISE
30312722,1,NOISE
30312722,2,NOISE
30312722,3,NOISE
30312722,4,NOISE
30312722,5,NOISE
30312800,1,NOISE
30312800,2,NOISE
30312800,3,NOISE
30312916,1,NOISE
30312916,2,NOISE
30312916,3,NOISE
30312916,4,NOISE
30312916,5,NOISE
30313007,1,NOISE
30313007,2,NOISE
30313007,3,NOISE
30313007,4,NOISE
30313007,5,NOISE
30313682,1,NOISE
30313682,2,NOISE
30313682,3,NOISE
30313682,4,NOISE
30313682,5,NOISE
30314282,1,NOISE
30314282,2,NOISE
30314282,3,NOISE
30314282,4,NOISE
30314282,5,NOISE
30315127,1,NOISE
30315127,2,NOISE
30315127,3,NOISE
30315127,4,NOISE
30315127,5,NOISE
30315586,1,NOISE
30315586,2,NOISE
30315586,3,NOISE
30315586,4,NOISE
30315586,5,NOISE
30317282,1,NOISE
30317282,2,NOISE
30317282,3,NOISE
30317282,4,NOISE
30317282,5,NOISE
30317301,1,NOISE
30317301,2,NOISE
30317301,3,NOISE
30317301,4,NOISE
30317301,5,NOISE
30319402,1,NOISE
30319402,2,NOISE
30319402,3,NOISE
30319402,4,NOISE
30319402,5,NOISE
30403921,1,NOISE
30403921,2,NOISE
30403921,3,NOISE
30403921,4,NOISE
30403921,5,NOISE
30466249,1,NOISE
30466249,2,NOISE
30468581,1,NOISE
30468581,2,NOISE
30468581,3,NOISE
30468581,4,NOISE
30468581,5,NOISE
30469454,1,NOISE
30527625,1,NOISE
30527625,2,NOISE
30527625,3,NOISE
30527625,4,NOISE
30527625,5,NOISE
30531417,1,NOISE
30531417,2,NOISE
30531417,3,NOISE
30531417,4,NOISE
30531417,5,NOISE
30718811,1,NOISE
30718811,2,NOISE
30718811,3,NOISE
30718811,4,NOISE
30718811,5,NOISE
30728476,1,NOISE
30762159,1,NOISE
30762159,2,NOISE
30762159,3,NOISE
30762159,4,NOISE
30762159,5,NOISE
30853028,1,NOISE
30853028,2,NOISE
30853028,3,NOISE
30853028,4,NOISE
30853028,5,NOISE
30933383,1,NOISE
30933383,2,NOISE
30933383,3,NOISE
30938252,1,NOISE
31013214,1,NOISE
31013214,2,NOISE
31013214,3,NOISE
31013214,4,NOISE
31013214,5,NOISE
31104764,1,NOISE
31105684,1,NOISE
31105684,2,NOISE
31105684,3,NOISE
31105684,4,NOISE
31105684,5,NOISE
31105740,1,NOISE
31105740,2,NOISE
31105740,3,NOISE
31105740,4,NOISE
31105740,5,NOISE
31178354,1,NOISE
31178354,2,NOISE
31178354,3,NOISE
31178354,4,NOISE
31178354,5,NOISE
31181554,1,NOISE
31181554,2,NOISE
31181554,3,NOISE
31181554,4,NOISE
31181554,5,NOISE
31273263,1,NOISE
31273263,2,NOISE
31273263,3,NOISE
31380847,1,NOISE
31380847,2,NOISE
31381302,1,NOISE
31381302,2,NOISE
31381302,3,NOISE
31381302,4,NOISE
31381302,5,NOISE
31383649,1,NOISE
31383649,2,NOISE
31408736,1,NOISE
31408736,2,NOISE
31408736,3,NOISE
31408736,4,NOISE
31408736,5,NOISE
31505975,1,NOISE
31505975,2,NOISE
31508240,1,NOISE
31508240,2,NOISE
31508240,3,NOISE
31508240,4,NOISE
31508240,5,NOISE
31530164,1,NOISE
31530164,2,NOISE
31530164,3,NOISE
31530164,4,NOISE
31530164,5,NOISE
31633878,1,NOISE
31635050,1,NOISE
31635050,2,NOISE
31635050,3,NOISE
31635050,4,NOISE
31635050,5,NOISE
31635646,1,NOISE
31635646,2,NOISE
31635646,3,NOISE
31635646,4,NOISE
31635646,5,NOISE
